price,rooms,area,build_year,condition,energy_mark,bedrooms,prepayment,floor,total_floors,copy_not_allowed,no_broker_allowed,images_attached,is_owner,utility_summer,utility_winter,county,mun_or_city,street_adr,house_type,heating,furnished,washing_machine,balcony,yard,terrace,parking,has_internet,has_security_door,has_video_surveillance,has_storage,has_first_rent,has_deposit,has_commission,has_contract_fee,description_header_is_all_caps,description_header_length
700.0,1.0,34.8,2019.0,5.0,,1.0,,2.0,5.0,False,False,29.0,False,,,Harjumaa,Tallinn,Vana Kalamaja 10,Paneelmaja,,True,True,False,False,True,False,True,True,True,False,True,True,False,True,False,45.0
580.0,2.0,43.2,1934.0,,5.0,1.0,,3.0,3.0,False,False,16.0,False,,,Harjumaa,Tallinn,Volta 34,Puitmaja,,True,True,False,False,False,True,True,False,False,False,True,True,False,True,False,42.0
510.0,2.0,44.0,1971.0,3.0,,1.0,510.0,5.0,5.0,False,False,6.0,True,,,Harjumaa,Tallinn,J. Sütiste tee 26,,keskküte,True,True,True,False,False,False,True,False,False,False,,,,,False,0.0
510.0,1.0,22.8,2023.0,5.0,7.0,,,6.0,8.0,False,False,15.0,False,,,Harjumaa,Tallinn,Aiandi 11/1-29b,,,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,49.0
290.0,1.0,10.8,,4.0,,,,5.0,5.0,False,False,8.0,False,,,Tartumaa,Tartu,Tiigi 6,Kivimaja,keskküte,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,35.0
1690.0,4.0,101.4,2023.0,5.0,7.0,3.0,,4.0,5.0,False,False,37.0,False,,,Harjumaa,Tallinn,Sõjakooli 14,,"põrandaküte, keskküte",True,True,True,False,False,True,True,False,False,True,True,True,True,False,True,45.0
530.0,2.0,40.0,1946.0,3.0,4.0,1.0,,1.0,2.0,False,False,9.0,False,60.0,120.0,Harjumaa,Tallinn,Uus-Kalamaja 7/1,Puitmaja,"keskküte, gaasiküte",True,True,False,True,False,True,True,True,True,False,False,True,True,False,True,17.0
400.0,2.0,34.6,,2.0,7.0,,,4.0,5.0,False,False,9.0,False,,,Tartumaa,Tartu,Väike-Kaar 43,Kivimaja,,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,23.0
160.0,1.0,16.0,,2.0,,,,2.0,5.0,False,False,13.0,False,,,Tartumaa,Tartu,KALDA tee,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
390.0,1.0,27.0,1934.0,2.0,,1.0,390.0,2.0,2.0,False,False,13.0,False,,,Harjumaa,Tallinn,Saturni 14,Puitmaja,"elektriküte, ahjuküte",True,True,False,True,False,False,False,False,False,True,True,True,True,False,False,35.0
450.0,1.0,41.0,,5.0,,1.0,,3.0,4.0,False,False,20.0,False,,,Harjumaa,Tallinn,Erika 7,Kivimaja,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
1100.0,2.0,85.0,,5.0,,,,3.0,3.0,False,False,30.0,False,,,Harjumaa,Tallinn,Lai 35,,,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,0.0
1100.0,2.0,48.5,2024.0,,7.0,1.0,,2.0,6.0,False,False,45.0,False,,,Harjumaa,Tallinn,Allveelaeva 4,,"keskküte, põrandaküte",True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,54.0
280.0,1.0,15.0,1994.0,4.0,5.0,1.0,,2.0,6.0,False,False,12.0,False,100.0,100.0,Harjumaa,Tallinn,Liivamäe 6,,keskküte,True,True,False,False,False,False,True,True,True,False,False,True,True,False,True,29.0
430.0,1.0,24.9,2021.0,,7.0,,,4.0,4.0,False,False,21.0,False,50.0,150.0,Tartumaa,Tartu,J. Kuperjanovi 8,Kivimaja,keskküte,True,True,True,False,False,False,True,False,False,False,True,True,True,False,True,20.0
395.0,1.0,23.7,1946.0,,,,,1.0,2.0,False,False,10.0,False,,,Harjumaa,Tallinn,Vabriku 13,,"elektriküte, põrandaküte",True,True,False,True,False,True,False,False,False,False,True,True,True,False,True,25.0
250.0,1.0,16.6,1970.0,3.0,,1.0,,3.0,5.0,False,False,16.0,False,,,Harjumaa,Tallinn,Puhangu 8,Kivimaja,keskküte,True,True,False,False,False,True,False,False,True,False,True,True,False,True,False,0.0
340.0,1.0,14.0,2019.0,5.0,7.0,1.0,340.0,4.0,4.0,False,False,14.0,False,40.0,80.0,Harjumaa,Tallinn,Laki 24,Kivimaja,keskküte,True,True,False,True,False,True,True,True,True,False,False,True,True,False,True,42.0
650.0,3.0,69.0,1912.0,3.0,,2.0,,5.0,5.0,False,False,20.0,False,,,Tartumaa,Tartu,Pepleri 23,,,True,True,False,False,True,False,False,False,False,False,True,True,True,False,True,29.0
430.0,2.0,41.5,1927.0,2.0,4.0,,430.0,4.0,5.0,False,False,18.0,False,180.0,250.0,Harjumaa,Tallinn,Kreutzwaldi 13,Kivimaja,keskküte,True,True,False,False,False,True,False,True,False,False,True,True,True,False,False,31.0
500.0,3.0,62.0,1985.0,2.0,4.0,2.0,,1.0,5.0,False,False,12.0,False,,,Harjumaa,Tallinn,Järve 33,Kivimaja,keskküte,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,14.0
550.0,3.0,65.3,1952.0,4.0,,,,2.0,4.0,False,False,15.0,False,,,Tartumaa,Tartu,Küüni 4,Kivimaja,"põrandaküte, keskküte",False,True,False,False,False,False,True,False,False,False,True,True,True,False,True,40.0
750.0,2.0,46.7,2012.0,,,1.0,,8.0,8.0,False,False,15.0,False,,,Harjumaa,Tallinn,Tartu mnt 50a,,keskküte,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,42.0
1200.0,2.0,47.3,2024.0,3.0,7.0,1.0,,5.0,6.0,False,False,27.0,False,,,Harjumaa,Tallinn,Allveelaeva 4-72,Kivimaja,keskküte,True,True,True,False,False,False,True,False,False,False,False,True,True,False,False,49.0
600.0,3.0,56.6,,,5.0,,600.0,1.0,4.0,False,False,14.0,False,80.0,160.0,Harjumaa,Tallinn,Madala 11,Kivimaja,keskküte,True,True,False,False,False,False,True,True,False,False,True,True,False,True,False,0.0
210.0,1.0,10.0,,4.0,3.0,1.0,,2.0,5.0,False,False,15.0,False,60.0,85.0,Harjumaa,Tallinn,Majaka 23,Kivimaja,,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,10.0
500.0,1.0,20.5,2023.0,3.0,,1.0,,1.0,3.0,False,False,24.0,False,,,Tartumaa,Tartu,Vallikraavi 10,Kivimaja,keskküte,True,True,False,False,False,False,False,True,False,False,True,True,False,True,False,42.0
800.0,1.0,51.9,2018.0,5.0,,,,5.0,7.0,False,False,18.0,False,,,Harjumaa,Tallinn,Roseni 9,Kivimaja,keskküte,True,True,True,False,False,True,True,False,False,False,True,True,True,False,False,44.0
550.0,2.0,49.0,1969.0,3.0,4.0,1.0,550.0,9.0,9.0,False,False,12.0,False,100.0,180.0,Harjumaa,Tallinn,J. Sütiste tee 14,Paneelmaja,,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,18.0
590.0,3.0,61.3,1965.0,4.0,6.0,2.0,,2.0,5.0,False,False,21.0,False,,,Harjumaa,Tallinn,E. Vilde tee 53,Kivimaja,keskküte,True,False,True,False,False,False,True,True,False,False,True,True,True,False,False,46.0
850.0,2.0,48.8,2020.0,3.0,7.0,1.0,,4.0,6.0,False,False,36.0,False,115.0,185.0,Harjumaa,Tallinn,Suur-Patarei 6,,"keskküte, põrandaküte",True,False,True,False,False,False,True,True,False,False,True,True,False,True,True,50.0
1190.0,3.0,91.4,2020.0,3.0,,2.0,,3.0,3.0,False,False,16.0,False,,,Harjumaa,Tallinn,Gildi 5,Kivimaja,gaasiküte,True,True,False,False,False,True,False,True,False,False,True,True,True,False,False,50.0
5000.0,3.0,140.0,1920.0,4.0,,1.0,,4.0,4.0,False,False,19.0,False,,,Harjumaa,Tallinn,Vene 1,Kivimaja,"keskküte, kamin",True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,49.0
500.0,2.0,31.3,,3.0,,1.0,,2.0,2.0,False,False,27.0,False,,,Harjumaa,Tallinn,Kotka 34,Puitmaja,"elektriküte, ahjuküte, kamin",True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,0.0
